"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"Claim","Claim","","Adjudication Request
Preauthorization RequestPredetermination Request","",0,*,"","","","null {[]} {[]}
","Claim, Pre-determination or Pre-authorization","A provider issued list of professional services and products which have been provided, or are to be provided, to a patient which is sent to an insurer for reimbursement.","The Claim resource fulfills three information request requirements: Claim - a request for adjudication for reimbursement for products and/or services provided; Preauthorization - a request to authorize the future provision of products and/or services including an anticipated adjudication; and, Predetermination - a request for a non-bind adjudication of possible future products and/or services.","","","","","","","","",,,,,"",,,,"Claim",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}ltc-feeaudit-1:申報照顧組合代碼 BD03 或 DA01（交通接送）時，應填寫里程數與車號。 {item.productOrService.coding.where(code = 'BD03' or code = 'DA01').exists() implies (supportingInfo.category.coding.where(code = 'milage').exists() and supportingInfo.category.coding.where(code = 'carNo').exists())}ltc-feeaudit-2:申報照顧組合代碼 BD03（社區式服務交通接送）時，應填寫服務使用類型。 {item.productOrService.coding.where(code = 'BD03').exists() implies supportingInfo.category.coding.where(code = 'bd03Type').exists()}ltc-feeaudit-3:申報照顧組合代碼 AA00（A 單位個案管理服務）時，應填寫服務項目、服務對象與服務內容。 {item.productOrService.coding.where(code = 'AA00').exists() implies (supportingInfo.category.coding.where(code = 'svcItem').exists() and supportingInfo.category.coding.where(code = 'svcPeople').exists() and supportingInfo.category.coding.where(code = 'svcContent').exists())}ltc-feeaudit-4:申報照顧組合代碼 AA03（專業服務）時，應填寫服務項目與提供專業服務單位。 {item.productOrService.coding.where(code = 'AA03').exists() implies (supportingInfo.category.coding.where(code = 'svcItem').exists() and supportingInfo.category.coding.where(code = 'svcUnit').exists())}","Request","Entity. Role, or Act"
"Claim.id","Claim.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Claim.related.relationship","Claim.related.relationship","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How the reference claim is related","A code to convey how the claims are related.","For example, prior claim or umbrella.","Some insurers need a declaration of the type of relationship.","","","","","","","",,"example","Relationship of this claim to a related Claim.","http://hl7.org/fhir/ValueSet/related-claim-relationship|4.0.1","",,,,"Claim.related.relationship",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.related.reference","Claim.related.reference","","","",0,1,"","","","Identifier {[]} {[]}
","File or case reference","An alternate organizational reference to the case or file to which this particular claim pertains.","For example, Property/Casualty insurer claim # or Workers Compensation case # .","In cases where an event-triggered claim is being submitted to an insurer which requires a reference number to be specified on all exchanges.","","","","","","","",,,,,"",,,,"Claim.related.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.prescription","Claim.prescription","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription|4.0.1]]}
","Prescription authorizing services and products","Prescription to support the dispensing of pharmacy, device or vision products.","","Required to authorize the dispensing of controlled substances and devices.","","","","","","","",,,,,"",,,,"Claim.prescription",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.originalPrescription","Claim.originalPrescription","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription|4.0.1]]}
","Original prescription if superseded by fulfiller","Original prescription which has been superseded by this prescription to support the dispensing of pharmacy services, medications or products.","For example, a physician may prescribe a medication which the pharmacy determines is contraindicated, or for which the patient has an intolerance, and therefore issues a new prescription for an alternate medication which has the same therapeutic intent. The prescription from the pharmacy becomes the 'prescription' and that from the physician becomes the 'original prescription'.","Often required when a fulfiller varies what is fulfilled from that authorized on the original prescription.","","","","","","","",,,,,"",,,,"Claim.originalPrescription",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.payee","Claim.payee","","","",0,1,"","","","BackboneElement {[]} {[]}
","Recipient of benefits payable","The party to be reimbursed for cost of the products and services according to the terms of the policy.","Often providers agree to receive the benefits payable to reduce the near-term costs to the patient. The insurer may decline to pay the provider and choose to pay the subscriber instead.","The provider needs to specify who they wish to be reimbursed and the claims processor needs express who they will reimburse.","","","","","","","",,,,,"",,,,"Claim.payee",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.payee.id","Claim.payee.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.payee.extension","Claim.payee.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.payee.modifierExtension","Claim.payee.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.payee.type","Claim.payee.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Category of recipient","Type of Party to be reimbursed: subscriber, provider, other.","","Need to know who should receive payment with the most common situations being the Provider (assignment of benefits) or the Subscriber.","","","","","","","",,"example","A code for the party to be reimbursed.","http://hl7.org/fhir/ValueSet/payeetype|4.0.1","",,,,"Claim.payee.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.payee.party","Claim.payee.party","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|4.0.1]]}
","Recipient reference","Reference to the individual or organization to whom any payment will be made.","Not required if the payee is 'subscriber' or 'provider'.","Need to provide demographics if the payee is not 'subscriber' nor 'provider'.","","","","","","","",,,,,"",,,,"Claim.payee.party",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.referral","Claim.referral","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|4.0.1]]}
","Treatment referral","A reference to a referral resource.","The referral resource which lists the date, practitioner, reason and other supporting information.","Some insurers require proof of referral to pay for services or to pay specialist rates for services.","","","","","","","",,,,,"",,,,"Claim.referral",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.cause"
"Claim.facility","Claim.facility","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location|4.0.1]]}
","Servicing facility","Facility where the services were provided.","","Insurance adjudication can be dependant on where services were delivered.","","","","","","","",,,,,"",,,,"Claim.facility",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.where[x]"
"Claim.careTeam","Claim.careTeam","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","提供服務的照顧服務員","每位照顧服務員分別填寫，序號由 1 起依序編列。申報 AA00、B 碼、G 碼、SC 碼、C 碼、BD03 或 DA01 時，應至少填寫第一位照顧服務員。","","Common to identify the responsible and supporting practitioners.","","","","","","","",,,,,"",,,,"Claim.careTeam",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.careTeam.id","Claim.careTeam.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.careTeam.extension","Claim.careTeam.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.careTeam.modifierExtension","Claim.careTeam.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.careTeam.sequence","Claim.careTeam.sequence","","","",1,1,"Y","","","positiveInt {[]} {[]}
","照顧服務員的序號。[應依序填入 1 至 5 的整數]","A number to uniquely identify care team entries.","","Necessary to maintain the order of the care team and provide a mechanism to link individuals to claim details.","","","","","","","",,,,,"",,,,"Claim.careTeam.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.careTeam.provider","Claim.careTeam.provider","","","",1,1,"Y","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitioner], CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/LTCPractitionerRole], CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/Organization-twltc]]}
","照顧服務員或服務提供者。[應填入對應 Practitioner、PractitionerRole 或 Organization 的 Reference]","Member of the team who provided the product or service.","","Often a regulatory requirement to specify the responsible provider.","","","","","","","",,,,,"",,,,"Claim.careTeam.provider",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.actor"
"Claim.careTeam.responsible","Claim.careTeam.responsible","","","",0,1,"","","","boolean {[]} {[]}
","Indicator of the lead practitioner","The party who is billing and/or responsible for the claimed products or services.","Responsible might not be required when there is only a single provider listed.","When multiple parties are present it is required to distinguish the lead or responsible individual.","","","","","","","",,,,,"",,,,"Claim.careTeam.responsible",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.careTeam.role","Claim.careTeam.role","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Function within the team","The lead, assisting or supervising practitioner and their discipline if a multidisciplinary team.","Role might not be required when there is only a single provider listed.","When multiple parties are present it is required to distinguish the roles performed by each member.","","","","","","","",,"example","The role codes for the care team members.","http://hl7.org/fhir/ValueSet/claim-careteamrole|4.0.1","",,,,"Claim.careTeam.role",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.careTeam.qualification","Claim.careTeam.qualification","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Practitioner credential or specialization","The qualification of the practitioner which is applicable for this service.","","Need to specify which qualification a provider is delivering the product or service under.","","","","","","","",,"example","Provider professional qualifications.","http://hl7.org/fhir/ValueSet/provider-qualification|4.0.1","",,,,"Claim.careTeam.qualification",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo","Claim.supportingInfo","","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,*,"Y","","","BackboneElement {[]} {[]}
","服務紀錄的補充資料，應依申報的照顧組合代碼填寫。","應依各 Slice 說明的適用服務與填寫條件提供資料。代碼類資料填入 code，文字、布林值、數量或地點參照則填入各 Slice 指定的 value[x]。","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"","pattern:category}
","",,"open","Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.supportingInfo.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo.code","Claim.supportingInfo.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"example","The valuset used for additional information codes.","http://hl7.org/fhir/ValueSet/claim-exception|4.0.1","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo.value[x]","Claim.supportingInfo.value[x]","","","",0,1,"","","","boolean {[]} {[]}
string {[]} {[]}Quantity {[]} {[]}Attachment {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem","Claim.supportingInfo","svcItem","Attachments
Exception Codes
Occurrence Codes
Value codes
","",0,*,"Y","","","BackboneElement {[]} {[]}
","服務項目，申報 AA00、AA03 時必填。如選擇其他，則續填服務項目的補充說明。","代碼填入 code。申報 AA03 時應填寫 C 碼服務項目。可複選，每個選項分別填寫一筆服務項目。選項為：1 電訪、2 家訪、3 與案家討論服務內容調整、4 接受申訴、5 照會或連結至服務提供單位、9 其他。選擇 9 時，應續填其他服務項目的說明。","Often there are multiple jurisdiction specific valuesets which are required.","Typically these information codes are required to support the services rendered or the adjudication of the services rendered.","","","","","","","",,,,,"",,,,"Claim.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Request.supportingInfo"
"Claim.supportingInfo:svcItem.id","Claim.supportingInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Claim.supportingInfo:svcItem.extension","Claim.supportingInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Claim.supportingInfo:svcItem.modifierExtension","Claim.supportingInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Claim.supportingInfo:svcItem.sequence","Claim.supportingInfo.sequence","","","",1,1,"","","","positiveInt {[]} {[]}
","Information instance identifier","A number to uniquely identify supporting information entries.","","Necessary to maintain the order of the supporting information items and provide a mechanism to link to claim details.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.sequence",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem.category","Claim.supportingInfo.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","補充資料的類別。[應填入支付審查服務紀錄補充資訊類別代碼]","The general class of the information supplied: information; exception; accident, employment; onset, etc.","This may contain a category for the local bill type codes.","Required to group or associate information items with common characteristics. For example: admission information or prior treatments.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://ltc-ig.fhir.tw/CodeSystem/cs-tw-ltc-feeaudit-supporting-info""/>
    <code value=""svcItem""/>
  </coding>
</valueCodeableConcept>","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-supporting-info","",,,,"Claim.supportingInfo.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem.code","Claim.supportingInfo.code","","","",1,1,"Y","","","CodeableConcept {[]} {[]}
","補充資料的代碼。[應依資料類別填入對應 Slice 值集的代碼]","System and code pertaining to the specific information regarding special conditions relating to the setting, treatment or patient  for which care is sought.","","Required to identify the kind of additional information.","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-svc-item","",,,,"Claim.supportingInfo.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem.timing[x]","Claim.supportingInfo.timing[x]","","","",0,1,"","","","date {[]} {[]}
Period {[]} {[]}","When it occurred","The date when or period to which this information refers.","","","","","","","","","",,,,,"",,,,"Claim.supportingInfo.timing[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem.value[x]","Claim.supportingInfo.value[x]","","","",0,0,"","","","boolean {[]} {[]}
string {[]} {[]}Quantity {[]} {[]}Attachment {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}","Data to be provided","Additional data or information such as resources, documents, images etc. including references to the data or the actual inclusion of the data.","Could be used to provide references to other resources, document. For example could contain a PDF in an Attachment of the Police Report for an Accident.","To convey the data content to be provided when the information is more than a simple code or period.","","","","","","","",,,,,"",,,,"Claim.supportingInfo.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Claim.supportingInfo:svcItem.reason","Claim.supportingInfo.reason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the information","Provides the reason in the situation where a reason code is required in addition to the content.","For example: the reason for the additional stay, or why a tooth is  missing.","Needed when the supporting information has both a date and amount/value and requires explanation.","","","","","","","",,"example","Reason codes for the missing teeth.","http://hl7.org/fhir/ValueSet/missing-tooth-reason|4.0.1","",,,,"Claim.supportingInfo.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
