"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－身體評估評估欄位對應"
"HNBodyEvaluationsModel","HNBodyEvaluationsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－身體評估評估邏輯模型","描述居家護理身體評估評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1b2dc66c').item.where(linkId='BodyQuestions.q1b2dc66c.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.other","HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1b2dc66c.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1b2dc66c').item.where(linkId='BodyQuestions.q1b2dc66c.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f","","","",1,1,"","","","BackboneElement {[]} {[]}
","排便顏色","排便顏色","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfaaaf47f')"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.id","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.extension","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.answer","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-a88d0ac6ee1a","",,,,"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfaaaf47f').item.where(linkId='BodyQuestions.qfaaaf47f.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfaaaf47f').item.where(linkId='BodyQuestions.qfaaaf47f.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.other","HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qfaaaf47f.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qfaaaf47f').item.where(linkId='BodyQuestions.qfaaaf47f.Other')"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82","","","",1,1,"","","","BackboneElement {[]} {[]}
","排便輔助","排便輔助","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qbfd21c82')"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.id","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.extension","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.answer","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qbfd21c82').item.where(linkId='BodyQuestions.qbfd21c82.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-0467df08a056","",,,,"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qbfd21c82').item.where(linkId='BodyQuestions.qbfd21c82.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.other","HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.qbfd21c82.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.qbfd21c82').item.where(linkId='BodyQuestions.qbfd21c82.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56","HNBodyEvaluationsModel.bodyQuestions.q0cdace56","","","",1,1,"","","","BackboneElement {[]} {[]}
","排尿型態","排尿型態","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q0cdace56",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q0cdace56')"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.id","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.extension","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.answer","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-5cb9bbd6d620","",,,,"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q0cdace56').item.where(linkId='BodyQuestions.q0cdace56.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-b5e899beaa3a","",,,,"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q0cdace56').item.where(linkId='BodyQuestions.q0cdace56.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.other","HNBodyEvaluationsModel.bodyQuestions.q0cdace56.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q0cdace56.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q0cdace56').item.where(linkId='BodyQuestions.q0cdace56.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977","HNBodyEvaluationsModel.bodyQuestions.q3170f977","","","",1,1,"","","","BackboneElement {[]} {[]}
","排尿顏色","排尿顏色","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3170f977",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3170f977')"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.id","HNBodyEvaluationsModel.bodyQuestions.q3170f977.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.extension","HNBodyEvaluationsModel.bodyQuestions.q3170f977.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q3170f977.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.answer","HNBodyEvaluationsModel.bodyQuestions.q3170f977.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-c0e4f2d08eec","",,,,"HNBodyEvaluationsModel.bodyQuestions.q3170f977.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3170f977').item.where(linkId='BodyQuestions.q3170f977.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q3170f977.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","評估多選答案","評估多選答案。以逗號分隔選項；視力與聽力部位使用此欄。","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3170f977.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3170f977').item.where(linkId='BodyQuestions.q3170f977.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q3170f977.other","HNBodyEvaluationsModel.bodyQuestions.q3170f977.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q3170f977.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q3170f977').item.where(linkId='BodyQuestions.q3170f977.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f","","","",1,1,"","","","BackboneElement {[]} {[]}
","排尿輔助","排尿輔助","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1dddcc0f')"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.id","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.extension","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.modifierExtension","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.answer","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.answer","","","",1,1,"","","","Coding {[]} {[]}
","評估答案","評估答案","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1dddcc0f').item.where(linkId='BodyQuestions.q1dddcc0f.Answer')"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.multipleAnswer","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.multipleAnswer","","","",0,*,"","","","Coding {[]} {[]}
","評估多選答案","評估多選答案。來源為逗號分隔字串。FHIR 使用多筆 Coding 答案，回寫時依序以逗號串接。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-ec686161641f","",,,,"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.multipleAnswer",0,*,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1dddcc0f').item.where(linkId='BodyQuestions.q1dddcc0f.MultipleAnswer')"
"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.other","HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q1dddcc0f.other",0,1,"","","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q1dddcc0f').item.where(linkId='BodyQuestions.q1dddcc0f.Other')"
"HNBodyEvaluationsModel.bodyQuestions.q889a3f5d","HNBodyEvaluationsModel.bodyQuestions.q889a3f5d","","","",1,1,"","","","BackboneElement {[]} {[]}
","溫度","溫度","","","","","","","","","",,,,,"",,,,"HNBodyEvaluationsModel.bodyQuestions.q889a3f5d",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='BodyQuestions').item.where(linkId='BodyQuestions.q889a3f5d')"
"HNBodyEvaluationsModel.bodyQuestions.q889a3f5d.id","HNBodyEvaluationsModel.bodyQuestions.q889a3f5d.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBodyEvaluationsModel.bodyQuestions.q889a3f5d.extension","HNBodyEvaluationsModel.bodyQuestions.q889a3f5d.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
