"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 在宅急症資料集與 FHIR 資源對照","Mapping: RIM Mapping"
"HAHCareDataset.encounter.disposition","HAHCareDataset.encounter.disposition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","出院或轉出處置","出院或轉出處置。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.disposition",0,1,"","","Encounter.hospitalization.dischargeDisposition"
"HAHCareDataset.encounter.destination","HAHCareDataset.encounter.destination","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","接續照護地點","接續照護地點。[應填入對應的 Organization／Location Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.encounter.destination",0,1,"","","Encounter.hospitalization.destination"
"HAHCareDataset.problem","HAHCareDataset.problem","","","",0,*,"","","","BackboneElement {[]} {[]}
","診斷與照護問題","診斷與照護問題。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHCondition"
"HAHCareDataset.problem.id","HAHCareDataset.problem.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.problem.extension","HAHCareDataset.problem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.problem.modifierExtension","HAHCareDataset.problem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.problem.code","HAHCareDataset.problem.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","診斷或問題","診斷或問題。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.code",1,1,"","","Condition.code"
"HAHCareDataset.problem.category","HAHCareDataset.problem.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","診斷或問題分類","診斷或問題分類。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.category",1,1,"","","Condition.category"
"HAHCareDataset.problem.onset","HAHCareDataset.problem.onset","","","",0,1,"","","","dateTime {[]} {[]}
","發病時間","發病時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.onset",0,1,"","","Condition.onsetDateTime"
"HAHCareDataset.problem.clinicalStatus","HAHCareDataset.problem.clinicalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","病情狀態","病情狀態。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.clinicalStatus",0,1,"","","Condition.clinicalStatus"
"HAHCareDataset.problem.verification","HAHCareDataset.problem.verification","","","",0,1,"","","","CodeableConcept {[]} {[]}
","確認狀態","確認狀態。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.verification",0,1,"","","Condition.verificationStatus"
"HAHCareDataset.problem.encounter","HAHCareDataset.problem.encounter","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHEncounter]]}
","對應就診","對應就診。[應填入對應的 HAHEncounter Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.problem.encounter",1,1,"","","Condition.encounter"
"HAHCareDataset.team","HAHCareDataset.team","","","",0,*,"","","","BackboneElement {[]} {[]}
","團隊成員","團隊成員。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.team",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHCareTeam"
"HAHCareDataset.team.id","HAHCareDataset.team.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.team.extension","HAHCareDataset.team.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.team.modifierExtension","HAHCareDataset.team.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.team.member","HAHCareDataset.team.member","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","人員或機構","人員或機構。[應填入對應的 Practitioner／PractitionerRole／Organization／RelatedPerson Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.team.member",1,1,"","","CareTeam.participant.member"
"HAHCareDataset.team.role","HAHCareDataset.team.role","","","",1,1,"","","","CodeableConcept {[]} {[]}
","成員角色","成員角色。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.team.role",1,1,"","","CareTeam.participant.role"
"HAHCareDataset.team.period","HAHCareDataset.team.period","","","",0,1,"","","","Period {[]} {[]}
","責任期間","責任期間。[使用 start、end 填入起訖時間；尚未結束時不預填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.team.period",0,1,"","","CareTeam.participant.period"
"HAHCareDataset.plan","HAHCareDataset.plan","","","",0,*,"","","","BackboneElement {[]} {[]}
","照護計畫","照護計畫。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHCarePlan"
"HAHCareDataset.plan.id","HAHCareDataset.plan.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.plan.extension","HAHCareDataset.plan.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.plan.modifierExtension","HAHCareDataset.plan.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.plan.status","HAHCareDataset.plan.status","","","",1,1,"","","","code {[]} {[]}
","計畫狀態","計畫狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan.status",1,1,"","","CarePlan.status"
"HAHCareDataset.plan.period","HAHCareDataset.plan.period","","","",0,1,"","","","Period {[]} {[]}
","計畫期間","計畫期間。[使用 start、end 填入起訖時間；尚未結束時不預填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan.period",0,1,"","","CarePlan.period"
"HAHCareDataset.plan.problem","HAHCareDataset.plan.problem","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHCondition]]}
","處理的問題","處理的問題。[應填入對應的 HAHCondition Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan.problem",0,*,"","","CarePlan.addresses"
"HAHCareDataset.plan.goal","HAHCareDataset.plan.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHGoal]]}
","預期目標","預期目標。[應填入對應的 HAHGoal Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan.goal",0,*,"","","CarePlan.goal"
"HAHCareDataset.plan.activity","HAHCareDataset.plan.activity","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHServiceRequest], CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHMedicationRequest]]}
","預定服務或處方","預定服務或處方。[應填入對應的 HAHServiceRequest／HAHMedicationRequest Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.plan.activity",1,*,"","","CarePlan.activity.reference；也可用 detail"
"HAHCareDataset.goal","HAHCareDataset.goal","","","",0,*,"","","","BackboneElement {[]} {[]}
","照護目標","照護目標。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.goal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHGoal"
"HAHCareDataset.goal.id","HAHCareDataset.goal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.goal.extension","HAHCareDataset.goal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.goal.modifierExtension","HAHCareDataset.goal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.goal.description","HAHCareDataset.goal.description","","","",1,1,"","","","CodeableConcept {[]} {[]}
","預期結果","預期結果。[描述個案預期達成的結果，不填入疾病或問題清單。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.goal.description",1,1,"","","Goal.description"
"HAHCareDataset.goal.status","HAHCareDataset.goal.status","","","",1,1,"","","","code {[]} {[]}
","目標狀態","目標狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/goal-status","",,,,"HAHCareDataset.goal.status",1,1,"","","Goal.lifecycleStatus"
"HAHCareDataset.goal.due","HAHCareDataset.goal.due","","","",1,1,"","","","date {[]} {[]}
","預期達到日期","預期達到日期。[填入預期達成目標的日期，使用 YYYY-MM-DD 格式。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.goal.due",1,1,"","","Goal.target.dueDate"
"HAHCareDataset.goal.result","HAHCareDataset.goal.result","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","評值結果","評值結果。[應填入對應的 Observation Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.goal.result",0,*,"","","Goal.outcomeReference"
"HAHCareDataset.request","HAHCareDataset.request","","","",0,*,"","","","BackboneElement {[]} {[]}
","服務請求","服務請求。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHServiceRequest"
"HAHCareDataset.request.id","HAHCareDataset.request.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.request.extension","HAHCareDataset.request.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.request.modifierExtension","HAHCareDataset.request.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.request.code","HAHCareDataset.request.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","服務項目","服務項目。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request.code",1,1,"","","ServiceRequest.code"
"HAHCareDataset.request.category","HAHCareDataset.request.category","","","",1,*,"","","","CodeableConcept {[]} {[]}
","服務分類","服務分類。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request.category",1,*,"","","ServiceRequest.category"
"HAHCareDataset.request.status","HAHCareDataset.request.status","","","",1,1,"","","","code {[]} {[]}
","請求狀態","請求狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-status","",,,,"HAHCareDataset.request.status",1,1,"","","ServiceRequest.status"
"HAHCareDataset.request.intent","HAHCareDataset.request.intent","","","",1,1,"","","","code {[]} {[]}
","請求意圖","請求意圖。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-intent","",,,,"HAHCareDataset.request.intent",1,1,"","","ServiceRequest.intent"
"HAHCareDataset.request.requester","HAHCareDataset.request.requester","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","開立者","開立者。[應填入對應的 Practitioner／PractitionerRole／Organization Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request.requester",1,1,"","","ServiceRequest.requester"
"HAHCareDataset.request.performer","HAHCareDataset.request.performer","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","執行對象","執行對象。[應填入對應的 Practitioner／PractitionerRole／Organization Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request.performer",0,*,"","","ServiceRequest.performer"
"HAHCareDataset.request.occurrence","HAHCareDataset.request.occurrence","","","",0,1,"","","","Period {[]} {[]}
","預定服務期間","預定服務期間。[使用 start、end 填入起訖時間；尚未結束時不預填實際結束時間。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.request.occurrence",0,1,"","","ServiceRequest.occurrencePeriod"
"HAHCareDataset.observation","HAHCareDataset.observation","","","",0,*,"","","","BackboneElement {[]} {[]}
","生命徵象與檢驗","生命徵象與檢驗。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","既有量測 Profiles、HAHObservationLab"
"HAHCareDataset.observation.id","HAHCareDataset.observation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.observation.extension","HAHCareDataset.observation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.observation.modifierExtension","HAHCareDataset.observation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.observation.code","HAHCareDataset.observation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","量測或檢驗項目","量測或檢驗項目。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.code",1,1,"","","Observation.code"
"HAHCareDataset.observation.status","HAHCareDataset.observation.status","","","",1,1,"","","","code {[]} {[]}
","結果狀態","結果狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/observation-status","",,,,"HAHCareDataset.observation.status",1,1,"","","Observation.status"
"HAHCareDataset.observation.time","HAHCareDataset.observation.time","","","",1,1,"","","","dateTime {[]} {[]}
","量測或採檢時間","量測或採檢時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.time",1,1,"","","Observation.effectiveDateTime"
"HAHCareDataset.observation.value","HAHCareDataset.observation.value","","","",0,1,"","","","Quantity {[]} {[]}
","數值與單位","數值與單位。[填入實際量測數值、UCUM 系統與單位代碼。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.value",0,1,"","","Observation.valueQuantity"
"HAHCareDataset.observation.textValue","HAHCareDataset.observation.textValue","","","",0,1,"","","","string {[]} {[]}
","文字結果","文字結果。[使用文字結果時填寫；不得與數值結果同時填入。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.textValue",0,1,"","","Observation.valueString"
"HAHCareDataset.observation.absentReason","HAHCareDataset.observation.absentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","缺值原因","缺值原因。[缺少結果時說明原因，不以零值取代。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.observation.absentReason",0,1,"","","Observation.dataAbsentReason"
