"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－健康紀錄評估欄位對應"
"HNHealthyHabitsModel","HNHealthyHabitsModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－健康紀錄評估邏輯模型","描述居家護理健康紀錄評估的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNHealthyHabitsModel.alcoholYear","HNHealthyHabitsModel.alcoholYear","","","",0,1,"","","","decimal {[]} {[]}
","飲酒年數","飲酒年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.alcoholYear",0,1,"","","QuestionnaireResponse.item.where(linkId='AlcoholYear')"
"HNHealthyHabitsModel.quitBetelNut","HNHealthyHabitsModel.quitBetelNut","","","",0,1,"","","","decimal {[]} {[]}
","戒檳榔年數","戒檳榔年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.quitBetelNut",0,1,"","","QuestionnaireResponse.item.where(linkId='QuitBetelNut')"
"HNHealthyHabitsModel.beforequitBetelNut","HNHealthyHabitsModel.beforequitBetelNut","","","",0,1,"","","","decimal {[]} {[]}
","戒除前嚼食檳榔年數","戒除前嚼食檳榔年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.beforequitBetelNut",0,1,"","","QuestionnaireResponse.item.where(linkId='BeforequitBetelNut')"
"HNHealthyHabitsModel.betelNutYear","HNHealthyHabitsModel.betelNutYear","","","",0,1,"","","","decimal {[]} {[]}
","嚼食檳榔年數","嚼食檳榔年數。單位為年，至小數一位；依目前使用或已戒除狀態填寫。","","","","","","","","<valueDecimal xmlns=""http://hl7.org/fhir"" value=""0""/>","",,,,,"",,,,"HNHealthyHabitsModel.betelNutYear",0,1,"","","QuestionnaireResponse.item.where(linkId='BetelNutYear')"
"HNHealthyHabitsModel.isAllergy","HNHealthyHabitsModel.isAllergy","","","",1,1,"","","","Coding {[]} {[]}
","食物過敏","食物過敏","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNHealthyHabitsModel.isAllergy",1,1,"","","QuestionnaireResponse.item.where(linkId='IsAllergy')"
"HNHealthyHabitsModel.allergyDesc","HNHealthyHabitsModel.allergyDesc","","","",0,1,"","","","string {[]} {[]}
","食物過敏說明","食物過敏說明","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.allergyDesc",0,1,"","","QuestionnaireResponse.item.where(linkId='Allergy_Desc')"
"HNHealthyHabitsModel.isAllergyDrug","HNHealthyHabitsModel.isAllergyDrug","","","",1,1,"","","","Coding {[]} {[]}
","藥物過敏","藥物過敏","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNHealthyHabitsModel.isAllergyDrug",1,1,"","","QuestionnaireResponse.item.where(linkId='IsAllergyDrug')"
"HNHealthyHabitsModel.allergyDrugDesc","HNHealthyHabitsModel.allergyDrugDesc","","","",0,1,"","","","string {[]} {[]}
","藥物過敏說明","藥物過敏說明","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.allergyDrugDesc",0,1,"","","QuestionnaireResponse.item.where(linkId='AllergyDrug_Desc')"
"HNHealthyHabitsModel.vaccination","HNHealthyHabitsModel.vaccination","","","",1,1,"","","","BackboneElement {[]} {[]}
","疫苗紀錄","疫苗紀錄","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.vaccination",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Vaccination')"
"HNHealthyHabitsModel.vaccination.id","HNHealthyHabitsModel.vaccination.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNHealthyHabitsModel.vaccination.extension","HNHealthyHabitsModel.vaccination.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNHealthyHabitsModel.vaccination.modifierExtension","HNHealthyHabitsModel.vaccination.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNHealthyHabitsModel.vaccination.answer","HNHealthyHabitsModel.vaccination.answer","","","",1,1,"","","","Coding {[]} {[]}
","是否接種","是否接種","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-19264db8df7b","",,,,"HNHealthyHabitsModel.vaccination.answer",1,1,"","","QuestionnaireResponse.item.where(linkId='Vaccination').item.where(linkId='Vaccination.Answer')"
"HNHealthyHabitsModel.vaccination.multipleAnswer","HNHealthyHabitsModel.vaccination.multipleAnswer","","","",0,1,"","","","string {[]} {[]}
","疫苗種類","疫苗種類。有接種時必填。以逗號分隔流感疫苗、肺炎雙球菌疫苗、COVID-19疫苗或其他。","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.vaccination.multipleAnswer",0,1,"","","QuestionnaireResponse.item.where(linkId='Vaccination').item.where(linkId='Vaccination.MultipleAnswer')"
"HNHealthyHabitsModel.vaccination.other","HNHealthyHabitsModel.vaccination.other","","","",0,1,"","","","string {[]} {[]}
","接種年份","接種年份。依疫苗種類順序填入西元年或不記得；不可捏造接種日期。","","","","","","","","","",,,,,"",,,,"HNHealthyHabitsModel.vaccination.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Vaccination').item.where(linkId='Vaccination.Other')"
"HNHealthyHabitsModel.isTemporary","HNHealthyHabitsModel.isTemporary","","","",0,1,"","","","Coding {[]} {[]}
","是否暫存","是否暫存","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-58e4d598f859","",,,,"HNHealthyHabitsModel.isTemporary",0,1,"","","QuestionnaireResponse.item.where(linkId='IsTemporary')"
