TaiwanLongTermCareImplementationGuide
=========================================

/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-document.json: line 218, col 10, Info - None of the codings provided are in the value set 'FHIR Document Type Codes' (http://hl7.org/fhir/ValueSet/doc-typecodes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hah-document#discharge-summary) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hah-transfer-document.json: line 476, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Bundle-hn-careplan-transaction-example.json: line 373, col 10, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/CodeSystem-hah-activity.json: line 0, col 0, Warning - The resource CodeSystem/hah-activity should have an OID assigned to cater for possible use with OID based terminology systems e.g. CDA usage (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/CodeSystem-hah-document.json: line 0, col 0, Warning - The resource CodeSystem/hah-document should have an OID assigned to cater for possible use with OID based terminology systems e.g. CDA usage (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/CodeSystem-hah-eligibility.json: line 0, col 0, Warning - The resource CodeSystem/hah-eligibility should have an OID assigned to cater for possible use with OID based terminology systems e.g. CDA usage (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/CodeSystem-hah-outcome.json: line 0, col 0, Warning - The resource CodeSystem/hah-outcome should have an OID assigned to cater for possible use with OID based terminology systems e.g. CDA usage (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/CodeSystem-hah-visit-mode.json: line 0, col 0, Warning - The resource CodeSystem/hah-visit-mode should have an OID assigned to cater for possible use with OID based terminology systems e.g. CDA usage (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Encounter-hah-admission.json: line 14, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Encounter-hah-transfer-admission.json: line 14, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Encounter-hah-video-visit.json: line 10, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Encounter-hah-visit.json: line 10, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/EpisodeOfCare-hah-episode.json: line 22, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-outcome|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/EpisodeOfCare-hah-episode.json: line 10, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/EpisodeOfCare-hah-transfer-episode.json: line 22, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-outcome|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/EpisodeOfCare-hah-transfer-episode.json: line 10, col 6, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Goal-hah-goal.json: line 21, col 4, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Goal-hn-goal-example.json: line 28, col 4, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 19, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hn-workflow#wound) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 43, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 51, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 62, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 75, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 88, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 101, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-iad-example.json: line 109, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 19, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hn-workflow#wound) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 43, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 51, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 62, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 75, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-other-example.json: line 88, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 19, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/hn-workflow#wound) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 43, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 51, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 62, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 80, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 98, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 116, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-workflow|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-hn-wound-pressure-example.json: line 124, col 8, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-basal-metabolic-rate-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://snomed.info/sct#165109007) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-body-age-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#BodyAge) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-cell-mass-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#BodyCellMass) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-extracellular-water-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#ECW) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-extracellular-water-ratio-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#ECWRatio) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-gait-cycle-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://snomed.info/sct#363837002) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-gait-type-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://snomed.info/sct#298302000) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-intracellular-water-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#ICW) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-mineral-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#Mineral) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-obesity-degree-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#ObesityDegree) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-protein-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#Protein) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-skeletal-muscle-mass-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#SMM) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-skeletal-muscle-mass-index-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#SMI) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-soft-lean-mass-example.json: line 26, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#SLM) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-visceral-fat-index-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#VFI) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Observation-pasport-observation-waist-hip-rate-example.json: line 20, col 4, Info - None of the codings provided are in the value set 'LOINC Codes' (http://hl7.org/fhir/ValueSet/observation-codes|4.0.1), and a coding is recommended to come from this value set (codes = http://ltc-ig.fhir.tw/CodeSystem/TempCodeCS-Sport#WHR) (CODEINVALID)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/Procedure-hah-procedure.json: line 16, col 4, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-activity|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hah-assessment.json: line 47, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hah-eligibility|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 47, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 72, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 86, col 12, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 146, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 163, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 180, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 197, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
/home/lorex/repo/TWLongTermCare_IG_Build/fsh-generated/resources/QuestionnaireResponse-hn-basedata-example.json: line 214, col 16, Info - Reference to draft CodeSystem http://ltc-ig.fhir.tw/CodeSystem/hn-answer|1.1.0 (BUSINESSRULE)
